酒店,评论,价格,城市,区域,地址,距离,纬度,经度,评分,评价,环境,卫生,服务,设施,标签
上海徐汇同文君亭酒店,"1,646条点评",451,上海,光大会展中心/漕河泾地区,桂林路17号,距市中心直线9.7公里,31.1544963626033,121.42286050803,4.7,很好,4.7,4.7,4.7,4.6,免费停车 影音房 洗衣房 花园 咖啡厅 健身室 投影仪 自助早餐 家庭房 会议厅
荷花酒店(淀山湖大道地铁站万达茂店),897条点评,369,上海,青浦朱家角/东方绿舟,青泰路656号,距市中心直线39公里,31.13694966259741,121.07899454145344,4.8,棒,4.8,4.9,4.9,4.8,室内恒温泳池 免费停车 机器人服务 家庭房 茶室 无烟楼层 瑜伽课程 干衣机 棋牌室 咖啡厅
上海国际旅游度假区野生动物园亚朵X酒店,"1,767条点评",501,上海,南汇/野生动物园,惠南镇沪南公路9408号,距市中心直线31.7公里,31.036808415444362,121.7180974281392,4.7,很好,4.7,4.7,4.7,4.7,穿梭机场班车 智能客控 管家服务 机器人服务 亲子主题房 洗衣房 家庭房 套房 无烟楼层 干衣机
汉庭酒店(上海北虹桥电商产业园协通大厦店),91条点评,274,上海,嘉定新城,曹安公路3918号协通大厦1楼,距市中心直线19.5公里,31.271729822625225,121.27451212210431,4.8,棒,4.9,4.9,4.7,4.8,免费停车 充电桩 新开业 洗衣房 自助早餐 机器人服务 智能客控 咖啡厅 无烟楼层 干衣机
嘉虹酒店(上海虹桥机场店),"1,668条点评",406,上海,虹桥机场/国家会展中心,沪青平公路38号,距市中心直线12.3公里,31.183962335123546,121.3566430057958,4.6,好,4.5,4.6,4.6,4.5,免费停车 会议厅 免费送机 免费接送机 洗衣房 自助早餐 干衣机 健身室 亲子主题房 无烟楼层
全季酒店(上海新国际博览中心陈春路店),405条点评,421,上海,新国际博览中心,北蔡镇陈春路299号,距市中心直线9.8公里,31.171806960241934,121.5501192876694,4.7,很好,4.7,4.7,4.7,4.6,免费停车 无烟楼层 洗衣房 干衣机 免费儿童早餐
上海虹桥临空智选假日酒店,212条点评,404,上海,虹桥,临虹路289号,距市中心直线11.6公里,31.22993755975702,121.35147228540418,4.8,棒,4.7,4.9,4.8,4.8,免费停车 干衣机 健身室 新开业 自助早餐 无烟楼层 洗衣房
上海唐镇智选假日酒店,"1,015条点评",486,上海,迪士尼,高科东路515弄30号恒生万鹂广场4号楼,距市中心直线17.2公里,31.2125567102641,121.653277077431,4.7,很好,4.7,4.7,4.6,4.6,低碳酒店 免费停车 咖啡厅 机器人服务 无烟楼层 儿童餐 棋牌室 室内无边泳池 套房 干衣机 管家服务
上海鲁能JW万豪侯爵酒店,"2,521条点评",1633,上海,陆家嘴,浦明路988号,距市中心直线4.1公里,31.2164784025022,121.513897808376,4.8,棒,4.8,4.8,4.8,4.8,设计师酒店 恒温泳池 行政酒廊 屋顶酒吧 江河景房 桑拿 中式餐厅 城市夜景 拍照出片 亲子课程
上海浦东国际机场迪航酒店,"5,479条点评",393,上海,浦东机场核心区,晨阳西路653号,距市中心直线26.5公里,31.175234582514673,121.74450789829258,4.6,好,4.6,4.6,4.7,4.6,免费接机 洗衣房 家庭房 无烟楼层 免费接送机 干衣机 会议厅 自助早餐
上海虹桥万象城CitiGO欢阁酒店,"2,008条点评",386,上海,虹桥,金汇路465号,距市中心直线11.1公里,31.178323186219494,121.37456131492691,4.8,棒,4.8,4.8,4.8,4.7,健身室 洗衣房 自助早餐 咖啡厅 干衣机 无烟楼层 会议厅 智能客控
景莱酒店•臻选(上海长寿路地铁站店),"2,399条点评",510,上海,长寿路,安远路395号,距市中心直线3.2公里,31.2390552673943,121.44206914812,4.6,好,4.7,4.6,4.7,4.6,洗衣房 机器人服务 干衣机 烧烤 家庭房 无烟楼层 智能客控 花园 拍照出片 会议厅
上海浦东金桥国际商业广场亚朵酒店,"1,977条点评",547,上海,浦东金桥,栖山路1875号,距市中心直线9.9公里,31.26161222167277,121.57163852168621,4.8,棒,4.8,4.8,4.8,4.8,免费停车 会议厅 健身室 自助早餐 无烟楼层 套房 花园 管家服务
上海静安瑞吉酒店,"3,122条点评",1668,上海,静安寺/南京西路,北京西路1008号,距市中心直线1.7公里,31.231169752425,121.45593975533,4.7,很好,4.7,4.7,4.6,4.6,亲子主题房 城市夜景 拍照出片 SPA 健身课程 室内景观泳池 桑拿 酒吧 美食酒店 商务中心
上海大宁市北高新园区亚朵酒店,"1,532条点评",503,上海,大宁国际,广延路1286号,距市中心直线7.1公里,31.29231465078589,121.45511148370136,4.7,很好,4.7,4.8,4.7,4.7,免费停车 机器人服务 洗衣房 自助早餐 商务中心 干衣机 健身室 家庭房 无烟楼层 套房
上海徐家汇CitiGO欢阁酒店,"2,249条点评",548,上海,徐家汇,肇嘉浜路1029弄88号,距市中心直线5公里,31.19472585480885,121.44251576499454,4.7,很好,4.7,4.7,4.7,4.6,干衣机 咖啡厅 健身室 自助早餐 洗衣房 无烟楼层 智能客控 拍照出片 免费停车 茶室
全季酒店(上海虹桥古北壹号店),779条点评,485,上海,虹桥,翠钰路8号,距市中心直线8.5公里,31.1902778355113,121.397935557147,4.6,好,4.6,4.7,4.6,4.6,洗衣房 健身室 咖啡厅 免费停车 商务中心 无烟楼层 自助早餐
上海徐家汇漕河泾CitiGO欢阁公寓酒店,991条点评,475,上海,光大会展中心/漕河泾地区,钦州路777号,距市中心直线7.3公里,31.1778896947642,121.427576785184,4.7,很好,4.7,4.7,4.7,4.7,机器人服务 健身室 干衣机 洗衣房 自助早餐 无烟楼层 智能客控 会议厅
上海禾安牛民宿,,839,上海,淮海路/新天地,长乐路169弄4号一楼101室,距市中心直线1.5公里,31.220975290935673,121.46218902134662,,,,,,,新开业
浦天美泊酒店(上海国际旅游度假区店),"3,717条点评",405,上海,南汇/野生动物园,惠南镇沪南公路9900号5层-10层,距市中心直线33公里,31.0395715902545,121.738660450075,4.6,好,4.6,4.6,4.7,4.6,免费接送机 儿童乐园 亲子主题房 管家服务 动物角 乒乓球室 桌球室 棋牌室 免费停车 自助早餐
上海五角场逸扉酒店,"3,327条点评",437,上海,江湾/五角场,国定东路255号,距市中心直线8.8公里,31.298580562270306,121.52052319556402,4.9,超棒,4.9,4.9,4.9,4.8,干衣机 免费停车 智能客控 儿童餐 无烟楼层 自助早餐 咖啡厅 健身室 下午茶 管家服务
上海五角场丽芮酒店,"1,802条点评",591,上海,江湾/五角场,四平路1251号,距市中心直线6.9公里,31.285105501191097,121.5070350306514,4.8,棒,4.8,4.8,4.8,4.8,机器人服务 酒吧 下午茶 家庭房 健身室 咖啡厅 无烟楼层 套房 自助早餐 会议厅
上海五角场柏阳君亭酒店,640条点评,419,上海,四川北路,曲阳路779号,距市中心直线6.7公里,31.288432775870643,121.49049265199342,4.7,很好,4.7,4.7,4.8,4.7,机器人服务 洗衣房 免费停车 无烟楼层 干衣机 套房 自助早餐 咖啡厅 健身室 会议厅
上海威斯汀大饭店,"2,474条点评",1346,上海,外滩核心区,河南中路88号,距市中心直线1.3公里,31.232434099014537,121.48683068165613,4.5,不错,4.5,4.6,4.5,4.4,动人夜景 免费停车 江河景房 热带景观 行政酒廊 桑拿 酒吧 会议厅 咖啡厅 套房
上海虹桥漕河泾美居酒店,"1,767条点评",423,上海,光大会展中心/漕河泾地区,虹莘路3069号,距市中心直线12.4公里,31.156150515287674,121.37699287985507,4.8,棒,4.7,4.8,4.8,4.7,免费停车 免费送机 免费送站 机器人服务 洗衣房 干衣机 咖啡厅 健身室 套房 无烟楼层
和颐至尚酒店(上海前滩世博园店),"1,745条点评",382,上海,前滩,海阳路681弄5号楼,距市中心直线8.5公里,31.15680030682061,121.49853846234478,4.6,好,4.6,4.6,4.6,4.5,免费停车 机器人服务 洗衣房 无烟楼层 家庭房 套房 干衣机 管家服务 自助早餐 会议厅
万信酒店(上海陆家嘴世博园店),"3,361条点评",535,上海,新国际博览中心,高科西路551号,距市中心直线5.8公里,31.184955722965327,121.50443134177053,4.5,不错,4.5,4.5,4.5,4.5,免费停车 洗衣房 机器人服务 干衣机 会议厅 自助早餐 无烟楼层 套房 儿童餐 音乐会
上海虹桥国家会展中心同派酒店,"1,075条点评",365,上海,虹桥周边,闵北路115号,距市中心直线18.1公里,31.2156410952686,121.284493483854,4.7,很好,4.7,4.7,4.6,4.7,免费停车 会议厅 咖啡厅 工业风 健身室 机器人服务 洗衣房 酒吧 干衣机 自助早餐
上海东方美谷JW万豪酒店,871条点评,1353,上海,奉贤开发区,湖畔路399号,距市中心直线33公里,30.9345327522519,121.498865262951,4.7,很好,4.7,4.7,4.7,4.7,湖畔美居 室内泳池 行政酒廊 挖沙 花园景 儿童乐园 中式餐厅 音乐喷泉 自助早餐 酒吧
上海金桥中心逸扉酒店,818条点评,521,上海,浦东金桥,金台路222号,距市中心直线11.1公里,31.251591569475167,121.58799163075258,4.7,很好,4.7,4.7,4.7,4.7,免费停车 充电桩 会议厅 洗衣房 健身室 干衣机 自助早餐 无烟楼层 咖啡厅 投影仪
上海国展中心航中路地铁站美沁酒店,"1,122条点评",361,上海,七宝,航中路139号,距市中心直线13.3公里,31.168233,121.354449,4.7,很好,4.7,4.7,4.7,4.7,商务中心 无烟楼层
宿适夏洛特酒店(上海国际旅游度假区酒店),"3,584条点评",281,上海,迪士尼,周浦镇瓦屑振兴路58号,距市中心直线21.9公里,31.1089708680973,121.654989730449,4.6,好,4.6,4.6,4.7,4.6,儿童乐园 亲子主题房 无烟楼层 拍照出片 管家服务 套房 家庭房 烧烤
YOUNG服务式公寓酒店,65条点评,434,上海,前滩,东书房路629弄25号4层,距市中心直线9.6公里,31.16348784923451,121.53728787708708,4.6,好,4.5,4.7,4.8,4.5,管家服务 洗衣房 套房 充电桩 家庭房 厨房
上海浦东香格里拉大酒店,"11,700条点评",1473,上海,陆家嘴,富城路33号,距市中心直线2.5公里,31.23576503896421,121.49935487791453,4.7,很好,4.8,4.7,4.7,4.6,江河景房 黄浦江江景 拍照出片 亲子课程 海洋球滑梯 法餐 行政酒廊 商务中心 酒吧 外滩夜景
上海九思酒店,"1,158条点评",385,上海,顾村公园,山连路377弄8号,距市中心直线14.6公里,31.307412015344806,121.3495919310024,4.8,棒,4.8,4.9,4.8,4.8,免费停车 SPA 机器人服务 拍照出片 会议厅 智能客控 套房 干衣机 洗衣房 自助早餐
维也纳国际酒店(上海交大沪闵路店),599条点评,342,上海,交大/闵行开发区,沪闵路280号,距市中心直线25.3公里,31.007573404362333,121.42168971537862,4.4,,4.4,4.5,4.4,4.4,棋牌室 免费停车 洗衣房 KTV 商务中心 无烟楼层 套房 自助早餐 家庭房 花园景
上海馨乐庭陆家嘴公寓酒店,"1,207条点评",628,上海,浦东金桥,崮山路500号 (明悦大厦内),距市中心直线8公里,31.243042326071233,121.55657716652827,4.6,好,4.6,4.7,4.6,4.6,干衣机 健身室 会议厅 机器人服务 无烟楼层 自助早餐 套房 厨房
上海虹桥中心爱琴海亚朵S酒店,"2,898条点评",766,上海,虹桥,吴中路与虹井路交叉口吴中路1588号2-C幢,距市中心直线11.6公里,31.174039723122,121.371458545928,4.7,很好,4.8,4.8,4.8,4.7,设计师酒店 动人夜景 会议厅 健身课程 瑜伽课程 机器人服务 健身室 干衣机 自助早餐 管家服务
上海素凯泰酒店,"2,110条点评",1796,上海,静安寺/南京西路,威海路380号,距市中心直线940米,31.227443543546,121.46445165922,4.7,很好,4.7,4.7,4.6,4.6,设计师酒店 家庭房 室内恒温泳池 泰式餐厅 瑜伽课程 工业风 SPA 酒吧 咖啡厅 桑拿
上海三甲港绿地铂骊酒店(浦东机场店),771条点评,346,上海,浦东机场核心区,华夏东路6666弄6号,距市中心直线28.9公里,31.210568760958417,121.77639036597189,4.5,不错,4.5,4.5,4.5,4.5,海景房 免费停车 免费送机 马场 儿童乐园 骑马 亲子酒店 免费接送机 自助早餐 棋牌室
吉泰连锁酒店(上海本溪路新华医院店),867条点评,316,上海,江湾/五角场,本溪路197号,距市中心直线6.2公里,31.274793388451357,121.51378209352391,4.1,,4.2,4.1,4.2,4.1,洗衣房 无烟楼层 自助早餐 家庭房
简爱酒店  (上海西站店),"1,396条点评",374,上海,长风公园,桃浦路306号B座,距市中心直线8.2公里,31.26027204037147,121.39487196671843,4.6,好,4.6,4.6,4.6,4.6,家庭房 无烟楼层 管家服务 咖啡厅 自助早餐 会议厅 充电桩 智能客控 花园
上海古美智选假日酒店,63条点评,421,上海,光大会展中心/漕河泾地区,龙茗路1300弄181号,距市中心直线12.8公里,31.142812393030397,121.38633830399796,4.6,好,4.3,4.8,4.6,4.5,新开业 洗衣房 机器人服务 无烟楼层 会议厅 健身室 免费停车 自助早餐 套房 干衣机
上海雅居乐万豪侯爵酒店,"4,758条点评",1282,上海,人民广场,西藏中路555号,距市中心直线700米,31.236681468408968,121.47352855046793,4.7,很好,4.7,4.7,4.7,4.7,动人夜景 行政酒廊 健身室 室内泳池 酒吧 拍照出片 自助早餐 中式餐厅 咖啡厅 家庭房
柏曼酒店(上海虹桥火车站国展中心店),"1,190条点评",474,上海,虹桥机场/国家会展中心,华江路1338号,距市中心直线14公里,31.22757799234385,121.32641829947933,4.5,不错,4.5,4.5,4.6,4.5,低碳酒店 免费停车 洗衣房 健身室 棋牌室 无烟楼层 套房 机器人服务 干衣机 充电桩 家庭房
锦江都城酒店(上海五角场店),"1,361条点评",412,上海,江湾/五角场,国霞路345号C座,距市中心直线10公里,31.3157816984524,121.505029994837,4.8,棒,4.8,4.8,4.8,4.8,机器人服务 家庭房 免费停车 干衣机 咖啡厅 洗衣房 健身室 套房 自助早餐 SPA
唯庭酒店(上海中山公园地铁站店),"2,189条点评",417,上海,中山公园,中山西路515号,距市中心直线6.1公里,31.2138720354088,121.412345577819,4.6,好,4.6,4.6,4.6,4.6,智能客控 咖啡厅 洗衣房 无烟楼层
上海闵行工业园亚朵酒店,"1,088条点评",394,上海,交大/闵行开发区,潭竹路58号5幢,距市中心直线20.1公里,31.05374815410116,121.43055069505694,4.8,棒,4.8,4.8,4.8,4.8,花园景 免费停车 干衣机 洗衣房 自助早餐 套房 机器人服务 咖啡厅 无烟楼层 自营亲子房
